"","siteIDScheme","media","NSamples","minValue","meanValue","maxValue","sd","pH","TSS","TDS","Cu","Zn","conductivity"
"705","ksm001MonitoringSite","borehole",1,0.039928,0.039928,0.039928,NA,-5,10,1006,3,2,4
"706","ksm001MonitoringSite","vendor",4,1.9,4.3708,8.3167,2.9771,6,20,904,0,3,1
"707","ksm001MonitoringSite","Tap",6,47,57.533,86,15.232,-5,13,976,2,2,3
"708","ksm001MonitoringSite","vendor",1,0.009,0.009,0.009,NA,-3,25,1024,3,3,3
"709","ksm001MonitoringSite","Tap",1,6.1,6.1,6.1,NA,2,13,976,1,2,5
"710","ksm001MonitoringSite","borehole",4,2.925,5.0742,9.1667,2.788,7,5,961,0,0,4
"711","ksm001MonitoringSite","borehole",1,9.4,9.4,9.4,NA,2,3,1028,2,3,0
"712","ksm001MonitoringSite","borehole",2,8.133,8.631,9.13,0.704,-4,5,909,3,2,5
"713","ksm001MonitoringSite","Tap",2,64.3333,72.9167,81.5,12.1387,3,1,968,0,3,5
"714","ksm001MonitoringSite","river",2,5.4333,6.5,7.5667,1.5085,-1,19,1109,3,1,2
"715","ksm001MonitoringSite","vendor",2,0.005152,0.01932,0.034776,0.015,0,12,1017,3,3,0
"716","ksm001MonitoringSite","borehole",3,0.0322,0.088872,0.18676,0.065,2,16,976,1,0,0
"717","ksm001MonitoringSite","river",2,0.01,0.012,0.013,0.002,-6,9,1091,1,1,3
"718","ksm001MonitoringSite","river",2,0.002,0.003,0.004,0.001,6,27,911,1,0,4
"719","ksm001MonitoringSite","vendor",9,60.5,76.4,83,7.02,4,8,972,0,0,5
"720","ksm001MonitoringSite","river",2,68.5,83,97.5,20.506,7,5,999,1,0,3
"721","ksm001MonitoringSite","river",4,50.3333,80.6667,94.6667,20.4197,0,9,939,3,0,3
"722","ksm001MonitoringSite","river",3,0.031,0.032,0.033,0.001,3,1,1030,2,2,2
"723","ksm001MonitoringSite","vendor",8,53.714,80.101,93,12.044,2,23,1053,1,3,0
"724","ksm001MonitoringSite","vendor",5,72.5,80.181,93.166,8.699,-4,19,960,0,2,3
"725","ksm001MonitoringSite","Tap",3,46.75,58.5167,71.2,12.2507,3,23,915,3,1,1
"726","ksm001MonitoringSite","Tap",5,0.12,0.148,0.227,0.045,0,14,938,2,0,0
"727","ksm001MonitoringSite","river",4,7.6,8.625,9.8,1.068,7,9,1035,1,1,2
"728","ksm001MonitoringSite","vendor",4,8.45,9.237,10.933,1.159,5,23,1033,3,1,5
"729","ksm001MonitoringSite","river",3,9.364,10.627,12.084,1.37,2,4,1102,1,1,2
"730","ksm001MonitoringSite","Tap",1,10.5,10.5,10.5,NA,4,6,1002,3,1,1
"731","ksm001MonitoringSite","river",2,0.011,0.012,0.013,0.001,-2,14,1088,2,3,1
"732","ksm001MonitoringSite","vendor",8,0.017,0.023,0.031,0.004,-2,5,1011,2,3,2
"733","ksm001MonitoringSite","Tap",4,8.557,10.042,11.1,1.238,4,28,1001,0,3,3
"734","ksm001MonitoringSite","borehole",5,0.007,0.0083,0.0103,0.0013,-3,24,939,0,2,0
"735","ksm001MonitoringSite","vendor",2,0.003864,0.010304,0.016744,0.007,5,5,924,2,2,4
"736","ksm001MonitoringSite","Tap",2,56.125,57.062,58,1.325,3,27,949,3,2,2
"737","ksm001MonitoringSite","river",2,6.05,7.175,8.3,1.591,6,13,971,2,2,3
"738","ksm001MonitoringSite","Tap",2,0.035,0.036,0.038,0.001,-5,1,965,0,1,5
"739","ksm001MonitoringSite","river",5,7.55,8.322,9.5,0.763,3,4,1051,3,3,0
"740","ksm001MonitoringSite","vendor",2,76.3333,84.3333,92.3333,11.3137,6,28,905,0,0,5
"741","ksm002MonitoringSite","vendor",2,54.4,68.033,81.666,19.28,3,12,1004,2,0,5
"742","ksm001MonitoringSite","river",2,7.2,8.935,10.671,2.454,1,7,971,1,1,0
"743","ksm001MonitoringSite","Tap",3,79,93.333,103,12.662,-7,3,1073,0,1,2
"744","ksm001MonitoringSite","Tap",8,0.004,0.007,0.009,0.001,2,19,927,2,3,5
"745","ksm001MonitoringSite","river",3,10.2,11.6,12.4,1.2166,-3,10,909,2,2,1
"746","ksm001MonitoringSite","borehole",3,0.02,0.023,0.027,0.003,4,4,1010,3,1,2
"747","ksm001MonitoringSite","borehole",4,79,85.5,89,4.4347,2,30,995,3,0,2
"748","ksm001MonitoringSite","Tap",2,0.002,0.006,0.01,0.005,-7,23,945,3,3,4
"749","ksm001MonitoringSite","borehole",4,0.013,0.025,0.035,0.009,-2,26,1060,2,0,1
"750","ksm001MonitoringSite","river",3,0.022,0.023,0.024,0.001,5,6,987,3,1,5
"751","ksm001MonitoringSite","vendor",2,73.4,76,78.6,3.677,-5,28,998,3,2,0
"752","ksm002MonitoringSite","vendor",1,0.019,0.019,0.019,NA,-2,1,1008,0,2,3
"753","ksm001MonitoringSite","borehole",2,50.562,52.281,54,2.43,5,1,900,2,0,4
"754","ksm001MonitoringSite","Tap",4,0.021,0.031,0.051,0.014,0,9,922,0,3,0
"755","ksm001MonitoringSite","river",10,4.65,6.975,9.85,1.619,-3,7,987,3,0,1
"756","ksm001MonitoringSite","river",1,11.65,11.65,11.65,NA,0,15,923,2,1,3
"757","ksm001MonitoringSite","vendor",1,9.4875,9.4875,9.4875,NA,-6,10,1002,3,3,2
"758","ksm001MonitoringSite","Tap",3,7,8.411,9.8,1.4,3,26,1011,3,1,5
"759","ksm001MonitoringSite","vendor",6,0.004,0.006,0.007,0.001,-7,5,1029,2,1,5
"760","ksm001MonitoringSite","Tap",3,6.3,7.0111,8.1333,0.9834,7,3,954,3,0,2
"761","ksm001MonitoringSite","vendor",1,0.001288,0.001288,0.001288,NA,-7,7,1023,2,2,2
"762","ksm001MonitoringSite","river",2,71.4,73.6,75.8,3.111,-5,27,933,0,2,3
"763","ksm001MonitoringSite","borehole",3,47.125,60.375,73,12.948,-4,14,1093,3,0,4
"764","ksm001MonitoringSite","Tap",2,8.8778,9.2889,9.7,0.5814,-6,28,982,1,0,0
"765","ksm001MonitoringSite","vendor",2,8.9,9.05,9.2,0.212,6,25,958,1,2,5
"766","ksm001MonitoringSite","river",2,7.144,8.277,9.411,1.602,1,20,1000,3,0,1
"767","ksm001MonitoringSite","Tap",3,10.138,11.511,12.507,1.228,-1,19,1038,2,2,3
"768","ksm001MonitoringSite","Tap",2,70.5714,72.5,74.4286,2.7274,-6,30,1077,2,3,2
"769","ksm001MonitoringSite","borehole",3,7.833,8.787,10.65,1.613,-1,10,1073,3,1,2
"770","ksm001MonitoringSite","river",7,0.005,0.01,0.019,0.004,-3,30,936,2,0,3
"771","ksm001MonitoringSite","borehole",2,8.8,9.707,10.614,1.282,-5,5,1066,3,0,4
"772","ksm001MonitoringSite","vendor",2,47,52.611,58.222,7.935,-4,15,912,1,1,2
"773","ksm001MonitoringSite","river",2,1,1.615,2.81,1.69,7,10,1106,1,0,5
"774","ksm001MonitoringSite","river",4,0.011,0.016,0.021,0.004,-3,24,939,3,3,2
"775","ksm001MonitoringSite","vendor",1,39.3333,39.3333,39.3333,0,3,9,999,0,0,3
"776","ksm001MonitoringSite","Tap",7,0.026,0.063,0.142,0.042,1,9,938,2,3,3
"777","ksm002MonitoringSite","borehole",1,0.095312,0.095312,0.095312,NA,-1,21,987,2,2,4
"778","ksm001MonitoringSite","Tap",1,30,30,30,NA,7,21,926,0,3,4
"779","ksm001MonitoringSite","borehole",2,79.5,86.75,94,10.253,-3,2,1070,1,1,1
"780","ksm001MonitoringSite","borehole",4,52,78.75,103.5,21.081,-6,22,986,2,1,3
"781","ksm001MonitoringSite","borehole",2,59.75,71.875,84,17.147,-3,21,933,2,3,5
"782","ksm001MonitoringSite","river",1,0.007728,0.007728,0.007728,0,7,2,1069,0,1,3
"783","ksm001MonitoringSite","Tap",1,0.0213,0.0213,0.0213,0,-2,15,958,1,1,4
"784","ksm001MonitoringSite","Tap",2,9.8,10.3357,10.8714,0.7576,-1,18,1050,3,2,2
"785","ksm001MonitoringSite","Tap",2,70.636,71.045,71.454,0.578,4,28,1001,0,0,4
"786","ksm001MonitoringSite","Tap",2,5.6,7.29,8.98,2.39,4,24,1057,1,0,1
"787","ksm001MonitoringSite","river",2,0.007,0.007,0.007,0,3,24,1025,2,2,2
"788","ksm001MonitoringSite","vendor",2,59.2,59.2,59.2,0,-3,23,1101,2,0,4
"789","ksm001MonitoringSite","Tap",2,76.5,77.5,78.5,1.414,4,12,1067,0,3,3
"790","ksm001MonitoringSite","Tap",2,6.18,8.05,9.92,2.644,-3,4,1108,1,1,4
"791","ksm001MonitoringSite","river",4,0.012,0.014,0.015,0.001,-2,3,931,3,3,1
"792","ksm001MonitoringSite","Tap",2,0.003864,0.00644,0.010304,0.003,0,12,939,2,3,5
"793","ksm001MonitoringSite","river",2,6,9.241,12.483,4.584,-3,12,963,0,3,5
"794","ksm001MonitoringSite","river",2,8.3,8.6,8.9,0.4243,-2,22,990,0,1,3
"795","ksm001MonitoringSite","borehole",1,86.625,86.625,86.625,NA,3,14,1018,3,0,3
"796","ksm001MonitoringSite","Tap",2,6.8,8.14,9.48,1.895,5,21,935,2,3,4
"797","ksm001MonitoringSite","Tap",2,44.666,66.833,89,31.348,4,23,1042,2,0,2
"798","ksm001MonitoringSite","vendor",5,0.007,0.01,0.012,0.001,-5,25,938,1,2,0
"799","ksm001MonitoringSite","borehole",2,5.8625,7.3955,8.9286,2.168,2,17,988,2,3,2
"800","ksm001MonitoringSite","borehole",18,8,11.2611,14.4,2.0394,-4,17,1029,3,3,5
"801","ksm001MonitoringSite","vendor",1,5.9556,5.9556,5.9556,0,-7,24,1024,1,3,3
"802","ksm001MonitoringSite","borehole",5,65.5,77.83,91.5,11.98,7,30,957,0,0,2
"803","ksm001MonitoringSite","Tap",6,0.001288,0.046368,0.10304,0.032,7,7,902,1,0,0
"804","ksm001MonitoringSite","borehole",5,0.003864,0.007728,0.011592,0.00232,1,20,987,3,1,3
"805","ksm001MonitoringSite","Tap",4,7.375,8.086,8.575,0.51,1,13,1095,3,3,5
"806","ksm001MonitoringSite","Tap",2,86,87.363,88.727,1.928,-2,8,1100,0,3,0
"807","ksm001MonitoringSite","river",1,9.0571,9.0571,9.0571,NA,-7,21,1061,0,0,5
"808","ksm001MonitoringSite","vendor",3,45.5,74.166,89.666,24.853,3,16,961,1,0,2
"809","ksm001MonitoringSite","vendor",3,0.00644,0.007728,0.009016,0,-2,4,1035,1,3,0
"810","ksm001MonitoringSite","borehole",2,0.01,0.012,0.015,0.003,5,14,1066,2,3,5
"811","ksm001MonitoringSite","Tap",4,0.012,0.016,0.027,0.007,5,19,993,3,1,5
"812","ksm001MonitoringSite","borehole",2,68.166,78.333,88.5,14.377,7,19,907,3,0,4
"813","ksm001MonitoringSite","borehole",2,7.512,7.661,7.81,0.21,6,15,969,3,3,5
"814","ksm001MonitoringSite","river",1,87,87,87,0,-2,13,1082,3,3,1
"815","ksm001MonitoringSite","river",4,0.054096,0.110768,0.194488,0.049,-7,11,952,3,1,4
"816","ksm001MonitoringSite","vendor",1,4.16,4.16,4.16,NA,7,9,1005,3,0,3
"817","ksm001MonitoringSite","river",2,63,77.125,91.25,19.975,7,29,1060,1,2,4
"818","ksm001MonitoringSite","borehole",2,0.001288,0.010304,0.018032,0.009,-3,23,1098,2,2,5
"819","ksm001MonitoringSite","Tap",2,84.727,86.863,89,3.021,1,3,1095,3,2,3
"820","ksm001MonitoringSite","river",1,5.037,5.037,5.037,NA,4,2,909,2,0,1
"821","ksm001MonitoringSite","Tap",3,0.012,0.032,0.069,0.032,5,28,928,1,0,2
"822","ksm001MonitoringSite","Tap",8,55,70.353,90.454,14.371,-5,6,1052,1,0,5
"823","ksm001MonitoringSite","borehole",2,0.018,0.022,0.027,0.00618,6,21,1045,1,1,2
"824","ksm001MonitoringSite","vendor",5,16.25,43.24,64.833,24.993,0,12,990,3,1,4
"825","ksm001MonitoringSite","vendor",14,6.7,9.25,12,1.7051,1,28,996,3,0,0
"826","ksm001MonitoringSite","Tap",2,0.043792,0.459816,0.877128,0.457,3,13,1098,2,3,4
"827","ksm001MonitoringSite","vendor",2,0.01288,0.014168,0.015456,0.001,6,4,984,2,0,5
"828","ksm001MonitoringSite","borehole",1,90.5,90.5,90.5,NA,-2,11,956,2,3,3
"829","ksm001MonitoringSite","Tap",3,0.021,0.022,0.025,0.002,3,20,982,0,3,0
"830","ksm001MonitoringSite","river",2,5.8,6.5667,7.3333,1.0842,5,4,1062,3,1,3
"831","ksm001MonitoringSite","river",2,2.666,5.383,8.1,3.841,1,29,976,2,0,1
"832","ksm001MonitoringSite","Tap",1,74,74,74,NA,-1,29,1108,2,2,0
"833","ksm001MonitoringSite","river",2,0.266,0.677,1.087,0.58,-5,25,1067,2,0,0
"834","ksm001MonitoringSite","borehole",2,64.571,67.66,70.75,4.368,1,29,1028,2,3,1
"835","ksm001MonitoringSite","vendor",18,0.003,0.006,0.011,0.002,3,30,976,3,1,2
"836","ksm001MonitoringSite","borehole",1,2.21,2.21,2.21,0,4,28,914,1,0,3
"837","ksm001MonitoringSite","Tap",2,52.333,52.541,52.75,0.294,7,8,954,2,3,2
"838","ksm001MonitoringSite","borehole",2,0.028336,0.055384,0.081144,0.028,6,25,934,2,1,3
"839","ksm001MonitoringSite","vendor",4,0.015456,0.11592,0.248584,0.075,1,27,969,0,2,3
"840","ksm001MonitoringSite","vendor",2,37,59.75,82.5,32.1733,2,28,1014,3,1,1
"841","ksm001MonitoringSite","Tap",2,9.806,10.593,11.38,1.112,5,21,1090,2,1,3
"842","ksm001MonitoringSite","borehole",7,0.057,0.069,0.089,0.012,6,20,966,3,0,1
"843","ksm001MonitoringSite","Tap",2,80.6,82.5,84.4,2.687,1,13,1015,2,0,0
"844","ksm001MonitoringSite","river",4,7.6,8.525,9.2,0.7632,-4,13,1068,1,1,0
"845","ksm001MonitoringSite","borehole",2,82.454,86.227,90,5.335,0,20,1061,2,0,5
"846","ksm001MonitoringSite","river",2,0.001288,0.007728,0.014168,0.007,-7,5,950,2,3,0
"847","ksm001MonitoringSite","river",12,0.002576,0.401856,1.85472,0.449,-3,1,924,2,1,0
"848","ksm001MonitoringSite","borehole",7,1.2,4.24,7.6,2.456,2,12,924,0,0,4
"849","ksm001MonitoringSite","vendor",2,5.58,7.9,10.22,3.281,-7,13,1028,2,2,3
"850","ksm001MonitoringSite","river",2,0.01288,0.018032,0.023184,0.005,-4,7,935,3,0,2
"851","ksm001MonitoringSite","river",4,48.333,80.25,91.666,21.288,-2,6,918,0,0,3
"852","ksm001MonitoringSite","river",4,9.2,9.506,10.087,0.395,-1,8,917,3,2,1
"853","ksm001MonitoringSite","borehole",2,3.73,5.26,6.79,2.164,2,21,1007,1,0,4
"854","ksm001MonitoringSite","river",13,78,85.6923,95,5.4219,4,26,1091,2,0,0
"855","ksm001MonitoringSite","Tap",6,32.666,37.587,43,4.138,1,15,933,1,2,4
"856","ksm001MonitoringSite","river",2,65.956,66.422,66.888,0.659,1,27,1076,1,3,2
"857","ksm001MonitoringSite","river",13,8.3,9.9,11.7,1,-6,5,1059,3,0,2
"858","ksm001MonitoringSite","river",4,6.9,9.475,11.8,2.2322,-1,3,1110,2,3,5
"859","ksm001MonitoringSite","Tap",2,5.133,5.933,6.733,1.131,-2,22,1056,3,1,5
"860","ksm001MonitoringSite","vendor",4,0.007728,0.02576,0.046368,0.014,-6,13,998,3,2,5
"861","ksm001MonitoringSite","vendor",2,0.00644,0.015456,0.02576,0.011,0,30,995,3,0,0
"862","ksm001MonitoringSite","borehole",1,82.125,82.125,82.125,0,7,17,1095,3,3,5
"863","ksm001MonitoringSite","river",3,0.01,0.012,0.016,0.003,-1,25,915,1,0,5
"864","ksm001MonitoringSite","Tap",1,0.010304,0.010304,0.010304,NA,-7,24,1064,3,3,0
"865","ksm001MonitoringSite","borehole",2,0.005,0.005,0.006,0,1,3,909,2,1,1
"866","ksm001MonitoringSite","Tap",3,0.007,0.008,0.009,0.001,-1,4,1077,3,1,0
"867","ksm001MonitoringSite","vendor",2,0.002576,0.016744,0.030912,0.015,-7,12,1039,0,0,5
"868","ksm001MonitoringSite","river",6,9.7,10.9,11.9,0.8,3,19,993,3,1,4
"869","ksm001MonitoringSite","borehole",4,0.074,0.097,0.155,0.03832,7,27,968,3,3,3
"870","ksm001MonitoringSite","river",7,7.85,9.208,11.55,1.259,4,10,1104,2,3,2
"871","ksm001MonitoringSite","Tap",2,9.725,10.804,11.883,1.526,-1,24,1077,0,3,4
"872","ksm001MonitoringSite","river",6,0.011592,0.082432,0.280784,0.076,-7,10,946,2,2,3
"873","ksm001MonitoringSite","river",7,0.004,0.005,0.007,0.001,-4,30,956,1,0,2
"874","ksm001MonitoringSite","vendor",4,7.511,8.756,10.171,1.259,3,27,941,2,2,3
"875","ksm001MonitoringSite","Tap",6,0.004,0.006,0.008,0.001,1,20,1073,1,0,2
"876","ksm001MonitoringSite","river",1,0.003,0.003,0.003,NA,5,7,1031,2,2,3
"877","ksm001MonitoringSite","vendor",11,49,70.969,95,14.966,4,19,1082,0,3,4
"878","ksm001MonitoringSite","Tap",2,0.014168,0.016744,0.01932,0.002,-2,28,1053,1,3,5
"879","ksm001MonitoringSite","borehole",6,0.011,0.017,0.029,0.006,5,15,1042,2,0,2
"880","ksm001MonitoringSite","river",2,66,79.5,93,19.091,-2,19,988,3,0,4
"881","ksm002MonitoringSite","river",2,65.6,67.1,68.6,2.121,-4,12,1103,0,3,1
"882","ksm001MonitoringSite","Tap",19,0.002,0.004,0.005,0,-3,20,1024,0,0,4
"883","ksm001MonitoringSite","river",4,0.08372,0.151984,0.267904,0.063,2,25,989,2,2,4
"884","ksm001MonitoringSite","Tap",4,6.672,9.468,11.625,2.071,-6,17,1081,2,3,0
"885","ksm001MonitoringSite","Tap",3,4.825,6.3583,7.5,1.3798,-6,22,1105,2,2,0
"886","ksm001MonitoringSite","borehole",2,69.8,70.8,71.8,1.4142,6,30,910,3,2,3
"887","ksm001MonitoringSite","river",5,6,8.1467,10,1.7012,1,2,942,0,1,1
"888","ksm002MonitoringSite","vendor",2,39.5,43,46.5,4.949,5,14,901,1,0,2
"889","ksm001MonitoringSite","vendor",3,6.9333,8.8,10.3667,1.7362,-3,30,924,0,0,1
"890","ksm001MonitoringSite","borehole",3,0.004,0.006,0.008,0.001,4,10,919,1,0,3
"891","ksm001MonitoringSite","Tap",2,0.002576,0.003864,0.003864,0,-1,17,1009,3,3,3
"892","ksm001MonitoringSite","vendor",1,0.05152,0.05152,0.05152,NA,-5,23,1062,3,3,0
"893","ksm001MonitoringSite","river",2,62.7143,72.0714,81.4286,13.233,6,19,991,2,1,5
"894","ksm001MonitoringSite","vendor",7,4.567,6.419,8.7,1.58,1,4,957,1,1,0
"895","ksm001MonitoringSite","river",7,74.25,93.535,113.5,15.857,-1,16,1101,0,3,4
"896","ksm001MonitoringSite","vendor",12,44.8,78.8,101,21.418,-2,7,974,0,3,2
"897","ksm002MonitoringSite","borehole",3,42,80.333,101,33.231,1,21,992,2,3,5
"898","ksm001MonitoringSite","river",2,0.008,0.011,0.014,0.004,2,26,1102,3,3,4
"899","ksm001MonitoringSite","Tap",1,0.0725,0.0725,0.0725,0,3,7,1076,3,1,3
"900","ksm001MonitoringSite","Tap",2,0.004,0.006,0.008,0.002,-5,11,1087,1,3,2
"901","ksm001MonitoringSite","borehole",4,5.316,8.933,11.066,2.542,-5,23,969,3,2,2
"902","ksm001MonitoringSite","borehole",4,47.2,71.233,88.333,17.264,-5,30,1050,0,1,5
"903","ksm001MonitoringSite","vendor",11,0.022,0.032,0.041,0.006,0,22,1034,3,1,4
"904","ksm001MonitoringSite","borehole",2,8.972,9.813,10.654,1.189,2,21,905,3,1,4
"905","ksm001MonitoringSite","Tap",2,0.027,0.029,0.031,0.002,2,28,1042,1,1,0
"906","ksm001MonitoringSite","borehole",2,9.568,10.21,10.852,0.908,-5,24,1075,0,1,2
"907","ksm001MonitoringSite","borehole",2,0.019,0.021,0.023,0.002,-3,22,986,0,1,3
"908","ksm001MonitoringSite","vendor",7,66.833,77.273,91.75,8.289,6,23,923,3,3,3
"909","ksm001MonitoringSite","vendor",2,0.004,0.006,0.008,0.002,0,6,943,1,2,4
"910","ksm001MonitoringSite","Tap",2,0.005,0.007,0.009,0.002,4,29,987,2,2,1
"911","ksm001MonitoringSite","river",2,0.054,0.066,0.079,0.017,0,27,1096,0,3,1
"912","ksm001MonitoringSite","borehole",2,6.575,8.0375,9.5,2.0683,6,7,1021,2,0,4
"913","ksm001MonitoringSite","Tap",2,52.571,54.285,56,2.424,7,20,1028,1,3,2
"914","ksm001MonitoringSite","borehole",4,3.275,6.612,9.65,3.138,6,8,998,2,1,2
"915","ksm001MonitoringSite","river",2,0.003864,0.003864,0.005152,0,3,8,1045,2,2,5
"916","ksm001MonitoringSite","river",1,10,10,10,NA,1,16,1057,2,1,1
"917","ksm001MonitoringSite","Tap",3,0.004,0.005,0.006,0.001,4,18,1060,3,3,5
"918","ksm001MonitoringSite","river",5,6.6,7.81,8.65,0.914,3,29,969,1,0,5
"919","ksm001MonitoringSite","Tap",1,89,89,89,0,0,26,1026,3,2,3
"920","ksm001MonitoringSite","vendor",2,0.01288,0.01288,0.01288,0,-6,13,1032,3,1,0
"921","ksm001MonitoringSite","vendor",2,9.3,9.995,10.69,0.983,-3,21,1003,3,0,0
"922","ksm001MonitoringSite","river",2,0.014,0.0178,0.0217,0.0054,-2,28,1017,2,0,0
"923","ksm001MonitoringSite","borehole",1,0.0117,0.0117,0.0117,NA,2,14,927,2,1,2
"924","ksm001MonitoringSite","borehole",2,5.23,5.615,6,0.544472221513641,4,17,1037,1,2,3
"925","ksm001MonitoringSite","river",8,0.0205,0.0236,0.026,0.0018,-6,7,1078,0,2,1
"926","ksm001MonitoringSite","vendor",2,0.003,0.003,0.004,0,2,26,992,1,0,5
"927","ksm001MonitoringSite","Tap",2,0.009,0.014,0.018,0.006,7,9,1022,2,1,2
"928","ksm001MonitoringSite","river",4,9.035,10.292,11.971,1.425,6,14,1027,3,2,0
"929","ksm002MonitoringSite","vendor",1,45,45,45,NA,-7,11,978,1,1,4
"930","ksm001MonitoringSite","river",8,4.3,7.803,9.933,1.815,-2,10,1103,2,0,0
"931","ksm001MonitoringSite","river",1,11.1,11.1,11.1,NA,-7,25,986,2,0,1
"932","ksm001MonitoringSite","Tap",2,0.016,0.018,0.021,0.003,-6,27,976,3,3,5
"933","ksm001MonitoringSite","Tap",2,3.8,5.6,7.4,2.54558441227157,-3,3,1013,2,1,3
"934","ksm001MonitoringSite","vendor",1,7.666,7.666,7.666,NA,-1,3,1010,3,2,5
"935","ksm001MonitoringSite","vendor",4,31.333,40.841,47.2,6.939,-3,28,946,2,3,1
"936","ksm001MonitoringSite","river",7,5.45,7.66,10.225,1.927,4,26,1020,3,0,0
"937","ksm001MonitoringSite","vendor",3,0.004,0.005,0.005,0,-2,30,986,2,0,1
"938","ksm001MonitoringSite","river",2,8.95,9.65,10.35,0.989,-6,27,912,1,2,1
"939","ksm001MonitoringSite","vendor",2,0.001932,0.007728,0.013524,0.0064,6,8,1059,3,0,4
"940","ksm001MonitoringSite","vendor",1,65.3333,65.3333,65.3333,NA,-4,24,943,2,0,0
"941","ksm001MonitoringSite","borehole",1,11.14,11.14,11.14,NA,6,7,919,1,1,1
"942","ksm001MonitoringSite","Tap",2,8.1,8.886,9.672,1.112,7,25,910,0,0,0
"943","ksm001MonitoringSite","Tap",2,0.007,0.009,0.01,0.002,-5,22,1023,3,2,0
"944","ksm001MonitoringSite","borehole",1,7.95,7.95,7.95,NA,5,7,1009,0,2,4
"945","ksm001MonitoringSite","river",5,2.456,8.023,11.92,3.785,-2,11,939,0,2,0
"946","ksm001MonitoringSite","Tap",2,0.025,0.026,0.028,0.001,5,20,1101,2,0,1
"947","ksm001MonitoringSite","borehole",2,7.2,8.175,9.15,1.3789,3,7,908,1,1,2
"948","ksm001MonitoringSite","borehole",2,4.75,5.908,7.066,1.638,1,3,933,3,2,2
"949","ksm001MonitoringSite","vendor",2,60,73,86,18.384,-4,18,943,2,3,2
"950","ksm001MonitoringSite","vendor",3,0.008,0.012,0.014,0.003,6,24,1092,0,1,5
"951","ksm001MonitoringSite","river",4,0.007728,0.042504,0.079856,0.025,-5,10,1049,3,1,4
"952","ksm001MonitoringSite","Tap",2,3.23,5.585,7.94,3.33047293938864,0,29,899,3,3,0
"953","ksm001MonitoringSite","river",2,0.011,0.012,0.014,0.002,5,28,925,1,1,5
"954","ksm001MonitoringSite","borehole",1,8.6333,8.6333,8.6333,NA,-1,1,1104,2,1,5
"955","ksm001MonitoringSite","vendor",4,0.00644,0.023184,0.036064,0.01,-7,21,1052,1,2,5
"956","ksm001MonitoringSite","vendor",2,0.003,0.004,0.005,0.001,1,18,1090,2,1,3
"957","ksm001MonitoringSite","Tap",2,0.00644,0.01932,0.0322,0.014,-4,22,1076,3,0,0
"958","ksm001MonitoringSite","Tap",4,2.633,3.075,3.733,0.503,-1,1,991,3,1,3
"959","ksm001MonitoringSite","borehole",2,0.005,0.005,0.005,0,4,29,984,1,0,3
"960","ksm001MonitoringSite","borehole",3,0.044,0.059,0.074,0.014,-2,4,1063,2,0,3
"961","ksm001MonitoringSite","river",2,0.029,0.0296,0.0302,8e-04,7,25,1058,0,3,3
"962","ksm001MonitoringSite","river",3,53.8,67.711,88.333,18.218,7,3,1106,2,2,1
"963","ksm001MonitoringSite","vendor",11,60,78.878,94,11.656,-6,8,947,1,2,4
"964","ksm001MonitoringSite","borehole",2,8.7,8.9,9.1,0.282,-4,21,1014,0,3,4
"965","ksm001MonitoringSite","Tap",5,35,71.1,92.5,28.2121,5,27,1066,2,3,4
"966","ksm001MonitoringSite","vendor",2,73,78,83,7.071,-3,4,1042,2,1,1
"967","ksm001MonitoringSite","river",3,43.875,58.166,85.5,23.679,-7,20,1091,0,2,3
"968","ksm001MonitoringSite","borehole",2,0.014,0.016,0.019,0.003,0,16,1080,2,1,0
"969","ksm001MonitoringSite","river",2,0.013,0.015,0.016,0.002,6,15,938,2,1,0
"970","ksm001MonitoringSite","vendor",2,8.07,9.385,10.7,1.859,-7,7,974,1,3,3
"971","ksm001MonitoringSite","Tap",2,49.5,49.812,50.125,0.441,5,24,955,2,1,5
"972","ksm001MonitoringSite","borehole",12,78,90.9167,125,12.6164,6,6,905,2,0,4
"973","ksm001MonitoringSite","borehole",4,1.6,6.931,9.337,3.586,1,25,949,3,0,2
"974","ksm001MonitoringSite","Tap",3,1.8,5.8167,7.85,3.4786,3,1,940,0,1,2
"975","ksm001MonitoringSite","vendor",6,5.133,8.719,10.966,2.064,0,16,1065,1,3,5
"976","ksm001MonitoringSite","river",2,63.888,66.055,68.222,3.064,3,10,971,2,3,4
"977","ksm001MonitoringSite","borehole",6,7.233,8.027,8.866,0.688,-6,21,982,1,3,2
"978","ksm001MonitoringSite","borehole",2,7.75,8.275,8.8,0.742,-5,29,1054,2,1,5
"979","ksm001MonitoringSite","vendor",13,41,84,99,14.6344,5,18,1060,0,0,2
"980","ksm001MonitoringSite","borehole",2,0.006,0.006,0.006,0,2,27,945,1,0,0
"981","ksm001MonitoringSite","borehole",5,0.006,0.012,0.014,0.003,3,15,1063,2,0,4
"982","ksm001MonitoringSite","borehole",2,0.0068,0.007,0.0073,4e-04,2,28,982,1,0,5
"983","ksm001MonitoringSite","Tap",1,8.25,8.25,8.25,NA,3,27,1076,2,2,3
"984","ksm001MonitoringSite","vendor",8,0.002576,0.00644,0.01288,0.002,6,22,1056,0,0,1
"985","ksm001MonitoringSite","borehole",10,90,95.2,100,3.8528,-2,14,1006,1,1,1
"986","ksm001MonitoringSite","Tap",2,8.825,9.802,10.78,1.382,-6,19,1082,2,3,2
